Category_MN,Category_EN,Year1,,Year3
Аймаг,Aimag,2016,,2018
Завхан,Zavkhan,47.5,,25.7
Говь-Алтай,Govi-Altai,43.3,,45.1
Баян-Өлгий,Bayan-Ulgii,34.4,,24.3
Ховд,Khovd,36.8,,40.9
Увс,Uvs,24.2,,29.6
Орхон,Orkhon,23.5,,25.1
Өвөрхангай,Uvurkhangai,41.1,,34.1
Булган,Bulgan,31.4,,36.8
Баянхонгор,Bayankhongor,38.8,,29.6
Архангай,Arkhangai,37.6,,38.2
Хөвсгөл,Khuvsgul,29.1,,25.3
Төв,Tuv,17.3,,20.5
Говьсүмбэр,Govisumber,52.4,,51.9
Сэлэнгэ,Selenge,36.4,,34
Дорноговь,Dornogovi,23.2,,23.4
Дархан-Уул,Darkhan-Uul,33.4,,32.8
Өмнөговь,Umnugovi,15.4,,11.8
Дундговь,Dundgovi,22.9,,21.7
Дорнод,Dornod,41.5,,42.5
Сүхбаатар,Sukhbaatar,47,,30.2
Хэнтий,Khentii,43.8,,38
Улаанбаатар,Ulaanbaatar,24.8,,25.9
Улсын дүн,Total,29.6,,28.4