ADM1_NAME,ADM2_NAME,60km,90km,120km,total
ADM1_NAME,ADM2_NAME,60 km/h,90 km/h,120 km/h,total
Ayeyarwady,Hinthada,"7,788",,,"7,788"
Ayeyarwady,Pathein,413,,,413
Bago (West),Pyay,"379,538",,,"379,538"
Chin,Falam,"190,041","155,671","44,042","389,754"
Chin,Hakha,"113,586","112,768","69,606","295,960"
Chin,Matupi,"163,747","163,747","138,527","466,021"
Chin,Mindat,"70,559","70,559","32,238","173,356"
Kachin,Mohnyin,"508,595","16,739",,"525,334"
Magway,Gangaw,"251,604","249,147","130,889","631,640"
Magway,Magway,"1,102,062",,,"1,102,062"
Magway,Minbu,"689,626","12,813",,"702,439"
Magway,Pakokku,"1,009,703","85,687",,"1,095,390"
Magway,Thayet,"643,838",,,"643,838"
Mandalay,Kyaukse,"68,891",,,"68,891"
Mandalay,Meiktila,"222,861",,,"222,861"
Mandalay,Myingyan,"790,768",,,"790,768"
Mandalay,Nyaung-U,"518,180",,,"518,180"
Mandalay,Pyinoolwin,"326,340",,,"326,340"
Mandalay,Yamethin,"16,573",,,"16,573"
Rakhine,Kyaukpyu,"396,904","79,449",,"476,353"
Rakhine,Maungdaw,"101,804","101,804","81,001","284,609"
Rakhine,Mrauk-U,"621,693","619,821","431,771","1,673,285"
Rakhine,Sittwe,"490,388","490,388","484,052","1,464,828"
Rakhine,Thandwe,"317,379",,,"317,379"
Sagaing,Hkamti,"323,848","278,799","122,033","724,680"
Sagaing,Kale,"551,734","551,734","513,728","1,617,196"
Sagaing,Kanbalu,"434,551","84,852","3,937","523,340"
Sagaing,Katha,"514,737","72,967","10,659","598,363"
Sagaing,Kawlin,"358,771","141,573","22,429","522,773"
Sagaing,Mawlaik,"178,471","178,471","168,963","525,905"
Sagaing,Monywa,"822,555",912,,"823,467"
Sagaing,Naga Self-Administered Zone,"24,481",822,,"25,303"
Sagaing,Sagaing,"488,759",,,"488,759"
Sagaing,Shwebo,"1,121,638","75,547",,"1,197,185"
Sagaing,Tamu,"120,113","119,646","1,212","240,971"
Sagaing,Yinmarbin,"588,624","231,886","2,877","823,387"
Shan (North),Mongmit,"2,644",,,"2,644"
Total,Total,"14,533,807","3,895,802","2,257,964","20,687,573"