district,index,category,window,season,type,date_ready,date_set,issue_ready,issue_set,prob_ready,prob_set,trigger_ready,trigger_set,state,new_tag,vulnerability
Beitbridge,DRY MA,Moderate,Window2,2023-24,DRYSPELL,10/1/23,11/1/23,10,11,0.17,0.24,0.23,0,na,0,
Beitbridge,SPI MA,Moderate,Window2,2023-24,SPI,12/1/23,1/1/24,12,1,,,0,0.29,na,0,
Beitbridge,SPI ND,Moderate,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.12,0.19,0.05,0.28,na,0,
Beitbridge,SPI OND,Moderate,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.15,0.13,0.26,0.13,na,0,
Bikita,SPI DJF,Moderate,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.16,0.21,0,0.34,na,0,
Bikita,SPI DJF,Moderate,Window2,2023-24,SPI,9/1/23,10/1/23,9,10,0.21,0.14,0.34,0,na,0,
Bikita,SPI OND,Moderate,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.11,0.11,0.18,0.2,na,0,
Bikita,SPI OND,Moderate,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.11,0.17,0.21,0.17,na,0,
Binga,SPI JF,Moderate,Window2,2023-24,SPI,12/1/23,1/1/24,12,1,,,0.01,0.26,na,0,
Binga,SPI ND,Moderate,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.1,0.47,0.17,0.34,na,0,
Binga,SPI OND,Moderate,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.18,0.27,0.21,0.17,na,0,
Chiredzi,SPI DJ,Normal,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.48,0.55,0.34,0.15,set,0,
Chiredzi,SPI DJ,Normal,Window2,2023-24,SPI,9/1/23,10/1/23,9,10,0.55,0.44,0.21,0.24,set,0,
Chiredzi,SPI NDJ,Normal,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.51,0.55,0.34,0,set,0,
Gwanda,DRY DJ,Moderate,Window2,2023-24,DRYSPELL,8/1/23,9/1/23,8,9,0.17,0.16,0.21,0.2,na,0,
Gwanda,SPI DJF,Moderate,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.22,0.29,0.3,0,na,0,
Gwanda,SPI ND,Moderate,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.12,0.15,0.29,0,na,0,
Gwanda,SPI OND,Moderate,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.44,0.31,0.25,0.14,set,0,
Hwange,DRY JF,Moderate,Window2,2023-24,DRYSPELL,9/1/23,10/1/23,9,10,0.2,0.36,0.23,0.19,na,0,
Hwange,SPI DJ,Moderate,Window2,2023-24,SPI,10/1/23,11/1/23,10,11,0.28,0.31,0.2,0.22,set,0,
Hwange,SPI OND,Moderate,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.47,0.5,0,0.47,set,0,
Hwange,SPI OND,Moderate,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.5,0.61,0.47,0,set,0,
Masvingo,SPI DJF,Moderate,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.25,0.41,0,0.3,set,0,
Masvingo,SPI DJF,Moderate,Window2,2023-24,SPI,9/1/23,10/1/23,9,10,0.41,0.41,0.3,0,set,0,
Masvingo,SPI OND,Moderate,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.16,0.17,0.21,0.23,na,0,
Masvingo,SPI OND,Moderate,Window 1,2023-24,SPI,7/1/23,8/1/23,7,8,0.17,0.33,0.23,0.21,na,0,
Matobo,SPI DJ,Normal,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.38,0.44,0,0.35,set,0,
Matobo,SPI DJF,Normal,Window2,2023-24,SPI,10/1/23,11/1/23,10,11,0.5,0.53,0.31,0.36,set,0,
Matobo,SPI OND,Normal,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.33,0.65,0.33,0,set,0,
Mbire,DRY FM,Moderate,Window2,2023-24,DRYSPELL,11/1/23,,11,,0.46,,0.25,,ready,1,
Mbire,SPI MA,Moderate,Window2,2023-24,SPI,12/1/23,1/1/24,12,1,,,0.14,0.29,na,1,
Mbire,SPI NDJ,Moderate,Window 1,2023-24,SPI,9/1/23,10/1/23,9,10,0.41,0.22,0.08,0.23,na,1,
Mbire,SPI NDJ,Moderate,Window 1,2023-24,SPI,10/1/23,11/1/23,10,11,0.22,0.29,0.23,0.25,na,1,
Mudzi,SPI DJ,Moderate,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.28,0.27,0,0.3,na,0,
Mudzi,SPI DJ,Moderate,Window2,2023-24,SPI,9/1/23,10/1/23,9,10,0.27,0.22,0.3,0,na,0,
Mudzi,SPI NDJ,Moderate,Window 1,2023-24,SPI,8/1/23,9/1/23,8,9,0.28,0.31,0.08,0.38,na,0,
Mudzi,SPI NDJ,Moderate,Window 1,2023-24,SPI,9/1/23,10/1/23,9,10,0.31,0.27,0.44,0,na,0,
Mwenezi,SPI DJ,Normal,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.5,0.45,0.16,0.3,set,0,
Mwenezi,SPI DJ,Normal,Window2,2023-24,SPI,10/1/23,11/1/23,10,11,0.41,0.44,0.17,0.33,set,0,
Mwenezi,SPI ND,Normal,Window 1,2023-24,SPI,6/1/23,7/1/23,6,7,0.25,0.29,0.29,0.25,na,0,
Rushinga,SPI DJ,Moderate,Window2,2023-24,SPI,8/1/23,9/1/23,8,9,0.25,0.25,0,0.28,na,0,
Rushinga,SPI DJ,Moderate,Window2,2023-24,SPI,9/1/23,10/1/23,9,10,0.25,0.21,0.28,0,na,0,