Category_MN,Category_EN,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11
Аймаг,Aimag,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Завхан,Zavkhan,6979,5493,1604,1701,3965,1624,1185,436,1050,67,62
Говь-Алтай,Govi-Altai,4303,4279,1143,1165,2794,5196,1415,1291,1379,693,423
Баян-Өлгий,Bayan-Ulgii,11624,7638,2342,610,2086,514,459,1842,1572,3151,3007
Ховд,Khovd,2337,1537,1252,1001,1060,471,1010,13591,698,638,866
Увс,Uvs,27289,29313,4972,5803,6973,2213,3841,13356,4777,9204,5900
Орхон,Orkhon,820,6225,151,93,146,85,108,23,0,69,69
Өвөрхангай,Uvurkhangai,3033,2616,550,218,1002,687,3028,2368,2440,14468,8898
Булган,Bulgan,5731,5694,9712,5279,8613,3949,3120,3107,3881,2936,6067
Баянхонгор,Bayankhongor,12592,5034,4319,1748,2054,1514,2613,39,264,141,2209
Архангай,Arkhangai,9507,11013,875,2550,36676,12865,7735,7959,17568,10022,8175
Хөвсгөл,Khuvsgul,11954,8095,4896,2355,2093,1543,4011,1605,7084,2858,7066
Төв,Tuv,12398,15640,9799,5863,11920,9996,8235,11331,12647,9945,11654
Говьсүмбэр,Govisumber,118,820,85,165,426,82,141,38,299,87,145
Сэлэнгэ,Selenge,2317,6613,893,926,1044,396,855,439,8257,588,336
Дорноговь,Dornogovi,748,1442,1419,1194,1127,1749,2134,4460,2587,2440,749
Дархан-Уул,Darkhan-Uul,387,171,135,318,360,114,64,328,114,13,129
Өмнөговь,Umnugovi,927,1383,433,228,738,787,656,1033,397,2409,316
Дундговь,Dundgovi,468,48,289,213,298,253,591,686,1546,2906,1754
Дорнод,Dornod,5778,9939,603,476,262,180,618,1406,1659,415,640
Сүхбаатар,Sukhbaatar,4662,20989,2448,1254,1217,3079,353,692,4648,141,236
Хэнтий,Khentii,9951,6253,7291,6060,8432,9977,7641,6681,7649,4590,20168
Улаанбаатар,Ulaanbaatar,1226,1796,1368,966,757,557,838,1070,1089,820,298