CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,Year1
CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,2019
18101,Завхан,Zavkhan,Улиастай,Uliastai,Тэжээлийн ургамал,Fodder crops,90
18101,Завхан,Zavkhan,Улиастай,Uliastai,"Бэлтгэсэн өвс, хадлан",Hay harvest,667.5
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Тэжээлийн ургамал,Fodder crops,68
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,"Бэлтгэсэн өвс, хадлан",Hay harvest,2876
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Гар тэжээл,Handmade fodder,2
18104,Завхан,Zavkhan,Алдархаан,Aldarkhaan,Хужир шүү,Mineral fodder,257.9
18107,Завхан,Zavkhan,Асгат,Asgat,Тэжээлийн ургамал,Fodder crops,656
18107,Завхан,Zavkhan,Асгат,Asgat,"Бэлтгэсэн өвс, хадлан",Hay harvest,1481.5
18107,Завхан,Zavkhan,Асгат,Asgat,Гар тэжээл,Handmade fodder,0
18107,Завхан,Zavkhan,Асгат,Asgat,Хужир шүү,Mineral fodder,204.6
18110,Завхан,Zavkhan,Баянтэс,Bayantes,Тэжээлийн ургамал,Fodder crops,48
18110,Завхан,Zavkhan,Баянтэс,Bayantes,"Бэлтгэсэн өвс, хадлан",Hay harvest,2512
18110,Завхан,Zavkhan,Баянтэс,Bayantes,Хужир шүү,Mineral fodder,165.9
18113,Завхан,Zavkhan,Баянхайрхан,Bayankhairkhan,"Бэлтгэсэн өвс, хадлан",Hay harvest,557
18113,Завхан,Zavkhan,Баянхайрхан,Bayankhairkhan,Гар тэжээл,Handmade fodder,12.3
18113,Завхан,Zavkhan,Баянхайрхан,Bayankhairkhan,Хужир шүү,Mineral fodder,307
18116,Завхан,Zavkhan,Дөрвөлжин,Durvuljin,"Бэлтгэсэн өвс, хадлан",Hay harvest,114
18116,Завхан,Zavkhan,Дөрвөлжин,Durvuljin,Хужир шүү,Mineral fodder,113
18119,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,"Бэлтгэсэн өвс, хадлан",Hay harvest,91.5
18119,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,Гар тэжээл,Handmade fodder,15.3
18119,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,Хужир шүү,Mineral fodder,14
18122,Завхан,Zavkhan,Идэр,Ider,Тэжээлийн ургамал,Fodder crops,108
18122,Завхан,Zavkhan,Идэр,Ider,"Бэлтгэсэн өвс, хадлан",Hay harvest,354
18122,Завхан,Zavkhan,Идэр,Ider,Гар тэжээл,Handmade fodder,0.322
18122,Завхан,Zavkhan,Идэр,Ider,Хужир шүү,Mineral fodder,30.6
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,Тэжээлийн ургамал,Fodder crops,26
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,"Бэлтгэсэн өвс, хадлан",Hay harvest,588.5
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,Гар тэжээл,Handmade fodder,6
18125,Завхан,Zavkhan,Их-Уул,Ikh-Uul,Хужир шүү,Mineral fodder,43
18128,Завхан,Zavkhan,Нөмрөг,Numrug,Тэжээлийн ургамал,Fodder crops,90
18128,Завхан,Zavkhan,Нөмрөг,Numrug,"Бэлтгэсэн өвс, хадлан",Hay harvest,1032.1
18128,Завхан,Zavkhan,Нөмрөг,Numrug,Гар тэжээл,Handmade fodder,18
18128,Завхан,Zavkhan,Нөмрөг,Numrug,Хужир шүү,Mineral fodder,81.1
18131,Завхан,Zavkhan,Отгон,Otgon,Тэжээлийн ургамал,Fodder crops,24
18131,Завхан,Zavkhan,Отгон,Otgon,"Бэлтгэсэн өвс, хадлан",Hay harvest,138.5
18131,Завхан,Zavkhan,Отгон,Otgon,Гар тэжээл,Handmade fodder,0.3
18134,Завхан,Zavkhan,Сантмаргац,Santmargats,Тэжээлийн ургамал,Fodder crops,12
18134,Завхан,Zavkhan,Сантмаргац,Santmargats,"Бэлтгэсэн өвс, хадлан",Hay harvest,187.4
18134,Завхан,Zavkhan,Сантмаргац,Santmargats,Гар тэжээл,Handmade fodder,10.5
18134,Завхан,Zavkhan,Сантмаргац,Santmargats,Хужир шүү,Mineral fodder,557.2
18137,Завхан,Zavkhan,Сонгино,Songino,Тэжээлийн ургамал,Fodder crops,7.5
18137,Завхан,Zavkhan,Сонгино,Songino,"Бэлтгэсэн өвс, хадлан",Hay harvest,508.5
18137,Завхан,Zavkhan,Сонгино,Songino,Гар тэжээл,Handmade fodder,95.8
18137,Завхан,Zavkhan,Сонгино,Songino,Хужир шүү,Mineral fodder,202.5
18140,Завхан,Zavkhan,Тосонцэнгэл,Tosontsengel,Тэжээлийн ургамал,Fodder crops,177.6
18140,Завхан,Zavkhan,Тосонцэнгэл,Tosontsengel,"Бэлтгэсэн өвс, хадлан",Hay harvest,1148.8
18140,Завхан,Zavkhan,Тосонцэнгэл,Tosontsengel,Гар тэжээл,Handmade fodder,6.5
18140,Завхан,Zavkhan,Тосонцэнгэл,Tosontsengel,Хужир шүү,Mineral fodder,81.1
18143,Завхан,Zavkhan,Түдэвтэй,Tudevtei,Тэжээлийн ургамал,Fodder crops,308
18143,Завхан,Zavkhan,Түдэвтэй,Tudevtei,"Бэлтгэсэн өвс, хадлан",Hay harvest,997
18143,Завхан,Zavkhan,Түдэвтэй,Tudevtei,Гар тэжээл,Handmade fodder,5
18143,Завхан,Zavkhan,Түдэвтэй,Tudevtei,Хужир шүү,Mineral fodder,197
18146,Завхан,Zavkhan,Тэлмэн,Telmen,Тэжээлийн ургамал,Fodder crops,405.5
18146,Завхан,Zavkhan,Тэлмэн,Telmen,"Бэлтгэсэн өвс, хадлан",Hay harvest,2371
18146,Завхан,Zavkhan,Тэлмэн,Telmen,Гар тэжээл,Handmade fodder,18.3
18146,Завхан,Zavkhan,Тэлмэн,Telmen,Хужир шүү,Mineral fodder,396.05
18149,Завхан,Zavkhan,Тэс,Tes,Тэжээлийн ургамал,Fodder crops,165
18149,Завхан,Zavkhan,Тэс,Tes,"Бэлтгэсэн өвс, хадлан",Hay harvest,943.5
18149,Завхан,Zavkhan,Тэс,Tes,Гар тэжээл,Handmade fodder,0.15
18149,Завхан,Zavkhan,Тэс,Tes,Хужир шүү,Mineral fodder,30.15
18152,Завхан,Zavkhan,Ургамал,Urgamal,"Бэлтгэсэн өвс, хадлан",Hay harvest,95.3
18152,Завхан,Zavkhan,Ургамал,Urgamal,Хужир шүү,Mineral fodder,106
18155,Завхан,Zavkhan,Цагаанхайрхан,Tsagaankhairkhan,Тэжээлийн ургамал,Fodder crops,0
18155,Завхан,Zavkhan,Цагаанхайрхан,Tsagaankhairkhan,"Бэлтгэсэн өвс, хадлан",Hay harvest,311.8
18155,Завхан,Zavkhan,Цагаанхайрхан,Tsagaankhairkhan,Гар тэжээл,Handmade fodder,9.54
18155,Завхан,Zavkhan,Цагаанхайрхан,Tsagaankhairkhan,Хужир шүү,Mineral fodder,138.5
18158,Завхан,Zavkhan,Цагаанчулуут,Tsagaanchuluut,Тэжээлийн ургамал,Fodder crops,10
18158,Завхан,Zavkhan,Цагаанчулуут,Tsagaanchuluut,"Бэлтгэсэн өвс, хадлан",Hay harvest,349.5
18158,Завхан,Zavkhan,Цагаанчулуут,Tsagaanchuluut,Гар тэжээл,Handmade fodder,4
18158,Завхан,Zavkhan,Цагаанчулуут,Tsagaanchuluut,Хужир шүү,Mineral fodder,79.5
18161,Завхан,Zavkhan,Цэцэн-Уул,Tsetsen-Uul,Тэжээлийн ургамал,Fodder crops,75
18161,Завхан,Zavkhan,Цэцэн-Уул,Tsetsen-Uul,"Бэлтгэсэн өвс, хадлан",Hay harvest,30.1
18161,Завхан,Zavkhan,Цэцэн-Уул,Tsetsen-Uul,Хужир шүү,Mineral fodder,3
18164,Завхан,Zavkhan,Шилүүстэй,Shiluustei,"Бэлтгэсэн өвс, хадлан",Hay harvest,205
18164,Завхан,Zavkhan,Шилүүстэй,Shiluustei,Гар тэжээл,Handmade fodder,7.8
18164,Завхан,Zavkhan,Шилүүстэй,Shiluustei,Хужир шүү,Mineral fodder,1.5
18167,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,Тэжээлийн ургамал,Fodder crops,10
18167,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,"Бэлтгэсэн өвс, хадлан",Hay harvest,244
18167,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,Гар тэжээл,Handmade fodder,55
18167,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,Хужир шүү,Mineral fodder,181
18170,Завхан,Zavkhan,Яруу,Yaruu,Тэжээлийн ургамал,Fodder crops,63.6
18170,Завхан,Zavkhan,Яруу,Yaruu,"Бэлтгэсэн өвс, хадлан",Hay harvest,357.5
18170,Завхан,Zavkhan,Яруу,Yaruu,Гар тэжээл,Handmade fodder,14
18170,Завхан,Zavkhan,Яруу,Yaruu,Хужир шүү,Mineral fodder,35.8
18201,Говь-Алтай,Govi-Altai,Есөнбулаг,Yesunbulag,Тэжээлийн ургамал,Fodder crops,49.5
18201,Говь-Алтай,Govi-Altai,Есөнбулаг,Yesunbulag,"Бэлтгэсэн өвс, хадлан",Hay harvest,901.8
18201,Говь-Алтай,Govi-Altai,Есөнбулаг,Yesunbulag,Гар тэжээл,Handmade fodder,39.2
18201,Говь-Алтай,Govi-Altai,Есөнбулаг,Yesunbulag,Хужир шүү,Mineral fodder,361.4
18204,Говь-Алтай,Govi-Altai,Алтай,Altai,"Бэлтгэсэн өвс, хадлан",Hay harvest,37
18207,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,Тэжээлийн ургамал,Fodder crops,12
18207,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,"Бэлтгэсэн өвс, хадлан",Hay harvest,447
18207,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,Гар тэжээл,Handmade fodder,19.3
18207,Говь-Алтай,Govi-Altai,Баян-Уул,Bayan-Uul,Хужир шүү,Mineral fodder,629.3
18210,Говь-Алтай,Govi-Altai,Бигэр,Biger,Тэжээлийн ургамал,Fodder crops,368.4
18210,Говь-Алтай,Govi-Altai,Бигэр,Biger,"Бэлтгэсэн өвс, хадлан",Hay harvest,607.25
18210,Говь-Алтай,Govi-Altai,Бигэр,Biger,Гар тэжээл,Handmade fodder,12.6
18210,Говь-Алтай,Govi-Altai,Бигэр,Biger,Хужир шүү,Mineral fodder,222.2
18213,Говь-Алтай,Govi-Altai,Бугат,Bugat,Тэжээлийн ургамал,Fodder crops,320
18213,Говь-Алтай,Govi-Altai,Бугат,Bugat,"Бэлтгэсэн өвс, хадлан",Hay harvest,355.2
18213,Говь-Алтай,Govi-Altai,Бугат,Bugat,Гар тэжээл,Handmade fodder,0.4
18213,Говь-Алтай,Govi-Altai,Бугат,Bugat,Хужир шүү,Mineral fodder,35
18216,Говь-Алтай,Govi-Altai,Дарив,Dariv,Тэжээлийн ургамал,Fodder crops,4.75
18216,Говь-Алтай,Govi-Altai,Дарив,Dariv,"Бэлтгэсэн өвс, хадлан",Hay harvest,342.55
18216,Говь-Алтай,Govi-Altai,Дарив,Dariv,Гар тэжээл,Handmade fodder,231.15
18216,Говь-Алтай,Govi-Altai,Дарив,Dariv,Хужир шүү,Mineral fodder,184.5
18219,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,Тэжээлийн ургамал,Fodder crops,22.5
18219,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,"Бэлтгэсэн өвс, хадлан",Hay harvest,321
18219,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,Гар тэжээл,Handmade fodder,96
18219,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,Хужир шүү,Mineral fodder,465.5
18222,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,Тэжээлийн ургамал,Fodder crops,20
18222,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,"Бэлтгэсэн өвс, хадлан",Hay harvest,494.5
18222,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,Гар тэжээл,Handmade fodder,13.3
18222,Говь-Алтай,Govi-Altai,Жаргалан,Jargalan,Хужир шүү,Mineral fodder,97
18225,Говь-Алтай,Govi-Altai,Тайшир,Taishir,Тэжээлийн ургамал,Fodder crops,180
18225,Говь-Алтай,Govi-Altai,Тайшир,Taishir,"Бэлтгэсэн өвс, хадлан",Hay harvest,343.4
18225,Говь-Алтай,Govi-Altai,Тайшир,Taishir,Хужир шүү,Mineral fodder,5.5
18228,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,"Бэлтгэсэн өвс, хадлан",Hay harvest,289.1
18228,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,Гар тэжээл,Handmade fodder,3
18228,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,Хужир шүү,Mineral fodder,45.8
18231,Говь-Алтай,Govi-Altai,Төгрөг,Tugrug,Тэжээлийн ургамал,Fodder crops,42
18231,Говь-Алтай,Govi-Altai,Төгрөг,Tugrug,"Бэлтгэсэн өвс, хадлан",Hay harvest,345.5
18231,Говь-Алтай,Govi-Altai,Төгрөг,Tugrug,Гар тэжээл,Handmade fodder,133.6
18231,Говь-Алтай,Govi-Altai,Төгрөг,Tugrug,Хужир шүү,Mineral fodder,355.5
18234,Говь-Алтай,Govi-Altai,Халиун,Khaliun,Тэжээлийн ургамал,Fodder crops,3.12
18234,Говь-Алтай,Govi-Altai,Халиун,Khaliun,"Бэлтгэсэн өвс, хадлан",Hay harvest,713.65
18234,Говь-Алтай,Govi-Altai,Халиун,Khaliun,Гар тэжээл,Handmade fodder,123.8
18234,Говь-Алтай,Govi-Altai,Халиун,Khaliun,Хужир шүү,Mineral fodder,438.8
18237,Говь-Алтай,Govi-Altai,Хөхморьт,Khukhmorit,Тэжээлийн ургамал,Fodder crops,5
18237,Говь-Алтай,Govi-Altai,Хөхморьт,Khukhmorit,"Бэлтгэсэн өвс, хадлан",Hay harvest,116.8
18237,Говь-Алтай,Govi-Altai,Хөхморьт,Khukhmorit,Гар тэжээл,Handmade fodder,30.2
18237,Говь-Алтай,Govi-Altai,Хөхморьт,Khukhmorit,Хужир шүү,Mineral fodder,175.5
18240,Говь-Алтай,Govi-Altai,Цогт,Tsogt,Тэжээлийн ургамал,Fodder crops,395
18240,Говь-Алтай,Govi-Altai,Цогт,Tsogt,"Бэлтгэсэн өвс, хадлан",Hay harvest,114.6
18240,Говь-Алтай,Govi-Altai,Цогт,Tsogt,Гар тэжээл,Handmade fodder,21.3
18240,Говь-Алтай,Govi-Altai,Цогт,Tsogt,Хужир шүү,Mineral fodder,232.4
18243,Говь-Алтай,Govi-Altai,Цээл,Tseel,Тэжээлийн ургамал,Fodder crops,9
18243,Говь-Алтай,Govi-Altai,Цээл,Tseel,"Бэлтгэсэн өвс, хадлан",Hay harvest,111.5
18243,Говь-Алтай,Govi-Altai,Цээл,Tseel,Гар тэжээл,Handmade fodder,3
18243,Говь-Алтай,Govi-Altai,Цээл,Tseel,Хужир шүү,Mineral fodder,135
18246,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,Тэжээлийн ургамал,Fodder crops,399
18246,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,"Бэлтгэсэн өвс, хадлан",Hay harvest,344.45
18246,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,Гар тэжээл,Handmade fodder,20.2
18246,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,Хужир шүү,Mineral fodder,21
18249,Говь-Алтай,Govi-Altai,Шарга,Sharga,Тэжээлийн ургамал,Fodder crops,9
18249,Говь-Алтай,Govi-Altai,Шарга,Sharga,"Бэлтгэсэн өвс, хадлан",Hay harvest,2479.4
18249,Говь-Алтай,Govi-Altai,Шарга,Sharga,Гар тэжээл,Handmade fodder,29.2
18249,Говь-Алтай,Govi-Altai,Шарга,Sharga,Хужир шүү,Mineral fodder,196.2
18252,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,"Бэлтгэсэн өвс, хадлан",Hay harvest,374.8
18252,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,Гар тэжээл,Handmade fodder,70.5
18252,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,Хужир шүү,Mineral fodder,312
18301,Баян-Өлгий,Bayan-Ulgii,Өлгий,Ulgii,Тэжээлийн ургамал,Fodder crops,190
18301,Баян-Өлгий,Bayan-Ulgii,Өлгий,Ulgii,"Бэлтгэсэн өвс, хадлан",Hay harvest,4912.5
18301,Баян-Өлгий,Bayan-Ulgii,Өлгий,Ulgii,Гар тэжээл,Handmade fodder,111.1
18301,Баян-Өлгий,Bayan-Ulgii,Өлгий,Ulgii,Хужир шүү,Mineral fodder,66
18304,Баян-Өлгий,Bayan-Ulgii,Алтай,Altai,Тэжээлийн ургамал,Fodder crops,30
18304,Баян-Өлгий,Bayan-Ulgii,Алтай,Altai,"Бэлтгэсэн өвс, хадлан",Hay harvest,6259.5
18304,Баян-Өлгий,Bayan-Ulgii,Алтай,Altai,Гар тэжээл,Handmade fodder,1685.5
18304,Баян-Өлгий,Bayan-Ulgii,Алтай,Altai,Хужир шүү,Mineral fodder,747
18307,Баян-Өлгий,Bayan-Ulgii,Алтанцөгц,Altantsugts,Тэжээлийн ургамал,Fodder crops,211.2
18307,Баян-Өлгий,Bayan-Ulgii,Алтанцөгц,Altantsugts,"Бэлтгэсэн өвс, хадлан",Hay harvest,5131
18307,Баян-Өлгий,Bayan-Ulgii,Алтанцөгц,Altantsugts,Гар тэжээл,Handmade fodder,467
18307,Баян-Өлгий,Bayan-Ulgii,Алтанцөгц,Altantsugts,Хужир шүү,Mineral fodder,457
18310,Баян-Өлгий,Bayan-Ulgii,Баяннуур,Bayannuur,Тэжээлийн ургамал,Fodder crops,200
18310,Баян-Өлгий,Bayan-Ulgii,Баяннуур,Bayannuur,"Бэлтгэсэн өвс, хадлан",Hay harvest,7760.1
18310,Баян-Өлгий,Bayan-Ulgii,Баяннуур,Bayannuur,Гар тэжээл,Handmade fodder,400
18313,Баян-Өлгий,Bayan-Ulgii,Бугат,Bugat,Тэжээлийн ургамал,Fodder crops,40
18313,Баян-Өлгий,Bayan-Ulgii,Бугат,Bugat,"Бэлтгэсэн өвс, хадлан",Hay harvest,3556
18313,Баян-Өлгий,Bayan-Ulgii,Бугат,Bugat,Гар тэжээл,Handmade fodder,290
18313,Баян-Өлгий,Bayan-Ulgii,Бугат,Bugat,Хужир шүү,Mineral fodder,393
18316,Баян-Өлгий,Bayan-Ulgii,Булган,Bulgan,Тэжээлийн ургамал,Fodder crops,14
18316,Баян-Өлгий,Bayan-Ulgii,Булган,Bulgan,"Бэлтгэсэн өвс, хадлан",Hay harvest,4261
18316,Баян-Өлгий,Bayan-Ulgii,Булган,Bulgan,Гар тэжээл,Handmade fodder,399.98
18316,Баян-Өлгий,Bayan-Ulgii,Булган,Bulgan,Хужир шүү,Mineral fodder,0
18319,Баян-Өлгий,Bayan-Ulgii,Буянт,Buyant,"Бэлтгэсэн өвс, хадлан",Hay harvest,2336.7
18319,Баян-Өлгий,Bayan-Ulgii,Буянт,Buyant,Гар тэжээл,Handmade fodder,415.5
18319,Баян-Өлгий,Bayan-Ulgii,Буянт,Buyant,Хужир шүү,Mineral fodder,16
18322,Баян-Өлгий,Bayan-Ulgii,Дэлүүн,Deluun,Тэжээлийн ургамал,Fodder crops,24
18322,Баян-Өлгий,Bayan-Ulgii,Дэлүүн,Deluun,"Бэлтгэсэн өвс, хадлан",Hay harvest,3903.7
18322,Баян-Өлгий,Bayan-Ulgii,Дэлүүн,Deluun,Гар тэжээл,Handmade fodder,776.64
18322,Баян-Өлгий,Bayan-Ulgii,Дэлүүн,Deluun,Хужир шүү,Mineral fodder,772.1
18325,Баян-Өлгий,Bayan-Ulgii,Ногооннуур,Nogoonnuur,Тэжээлийн ургамал,Fodder crops,10
18325,Баян-Өлгий,Bayan-Ulgii,Ногооннуур,Nogoonnuur,"Бэлтгэсэн өвс, хадлан",Hay harvest,21365
18325,Баян-Өлгий,Bayan-Ulgii,Ногооннуур,Nogoonnuur,Гар тэжээл,Handmade fodder,250
18325,Баян-Өлгий,Bayan-Ulgii,Ногооннуур,Nogoonnuur,Хужир шүү,Mineral fodder,650
18328,Баян-Өлгий,Bayan-Ulgii,Сагсай,Sagsai,Тэжээлийн ургамал,Fodder crops,200
18328,Баян-Өлгий,Bayan-Ulgii,Сагсай,Sagsai,"Бэлтгэсэн өвс, хадлан",Hay harvest,5069
18328,Баян-Өлгий,Bayan-Ulgii,Сагсай,Sagsai,Гар тэжээл,Handmade fodder,369.7
18328,Баян-Өлгий,Bayan-Ulgii,Сагсай,Sagsai,Хужир шүү,Mineral fodder,683.1
18331,Баян-Өлгий,Bayan-Ulgii,Толбо,Tolbo,Тэжээлийн ургамал,Fodder crops,80.8
18331,Баян-Өлгий,Bayan-Ulgii,Толбо,Tolbo,"Бэлтгэсэн өвс, хадлан",Hay harvest,2698
18331,Баян-Өлгий,Bayan-Ulgii,Толбо,Tolbo,Гар тэжээл,Handmade fodder,319.55
18331,Баян-Өлгий,Bayan-Ulgii,Толбо,Tolbo,Хужир шүү,Mineral fodder,570.75
18334,Баян-Өлгий,Bayan-Ulgii,Улаанхус,Ulaankhus,Тэжээлийн ургамал,Fodder crops,40
18334,Баян-Өлгий,Bayan-Ulgii,Улаанхус,Ulaankhus,"Бэлтгэсэн өвс, хадлан",Hay harvest,4585.2
18334,Баян-Өлгий,Bayan-Ulgii,Улаанхус,Ulaankhus,Гар тэжээл,Handmade fodder,450.05
18334,Баян-Өлгий,Bayan-Ulgii,Улаанхус,Ulaankhus,Хужир шүү,Mineral fodder,904.55
18337,Баян-Өлгий,Bayan-Ulgii,Цэнгэл,Tsengel,Тэжээлийн ургамал,Fodder crops,290
18337,Баян-Өлгий,Bayan-Ulgii,Цэнгэл,Tsengel,"Бэлтгэсэн өвс, хадлан",Hay harvest,9673
18337,Баян-Өлгий,Bayan-Ulgii,Цэнгэл,Tsengel,Гар тэжээл,Handmade fodder,3561
18337,Баян-Өлгий,Bayan-Ulgii,Цэнгэл,Tsengel,Хужир шүү,Mineral fodder,1938
18401,Ховд,Khovd,Жаргалант,Jargalant,Тэжээлийн ургамал,Fodder crops,0
18401,Ховд,Khovd,Жаргалант,Jargalant,"Бэлтгэсэн өвс, хадлан",Hay harvest,1508.3
18401,Ховд,Khovd,Жаргалант,Jargalant,Гар тэжээл,Handmade fodder,41.5
18401,Ховд,Khovd,Жаргалант,Jargalant,Хужир шүү,Mineral fodder,155.75
18404,Ховд,Khovd,Алтай,Altai,"Бэлтгэсэн өвс, хадлан",Hay harvest,1117
18404,Ховд,Khovd,Алтай,Altai,Гар тэжээл,Handmade fodder,140.7
18404,Ховд,Khovd,Алтай,Altai,Хужир шүү,Mineral fodder,240.9
18407,Ховд,Khovd,Булган,Bulgan,"Бэлтгэсэн өвс, хадлан",Hay harvest,25315
18407,Ховд,Khovd,Булган,Bulgan,Гар тэжээл,Handmade fodder,3.5
18407,Ховд,Khovd,Булган,Bulgan,Хужир шүү,Mineral fodder,407.51
18410,Ховд,Khovd,Буянт,Buyant,"Бэлтгэсэн өвс, хадлан",Hay harvest,6009.13
18410,Ховд,Khovd,Буянт,Buyant,Гар тэжээл,Handmade fodder,98.8
18410,Ховд,Khovd,Буянт,Buyant,Хужир шүү,Mineral fodder,210.2
18413,Ховд,Khovd,Дарви,Darvi,"Бэлтгэсэн өвс, хадлан",Hay harvest,423.5
18413,Ховд,Khovd,Дарви,Darvi,Гар тэжээл,Handmade fodder,129.1
18413,Ховд,Khovd,Дарви,Darvi,Хужир шүү,Mineral fodder,294
18416,Ховд,Khovd,Дөргөн,Durgun,"Бэлтгэсэн өвс, хадлан",Hay harvest,1152
18416,Ховд,Khovd,Дөргөн,Durgun,Гар тэжээл,Handmade fodder,214.6
18416,Ховд,Khovd,Дөргөн,Durgun,Хужир шүү,Mineral fodder,300
18419,Ховд,Khovd,Дуут,Duut,"Бэлтгэсэн өвс, хадлан",Hay harvest,504.3
18419,Ховд,Khovd,Дуут,Duut,Гар тэжээл,Handmade fodder,40.06
18419,Ховд,Khovd,Дуут,Duut,Хужир шүү,Mineral fodder,65.93
18422,Ховд,Khovd,Зэрэг,Zereg,"Бэлтгэсэн өвс, хадлан",Hay harvest,3520
18422,Ховд,Khovd,Зэрэг,Zereg,Гар тэжээл,Handmade fodder,284.6
18422,Ховд,Khovd,Зэрэг,Zereg,Хужир шүү,Mineral fodder,403.6
